timestamp,sensorId,kalmanMs,differentiatorMs,dspPipelineMs,totalMs
2026-01-14T10:51:01.932Z,010-20081219114010,0.163,0.001,0.073,0.238
2026-01-14T10:51:13.923Z,010-20081219114010,0.160,0.001,0.076,0.238
2026-01-14T10:51:25.895Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:51:37.905Z,010-20081219114010,0.168,0.001,0.077,0.247
2026-01-14T10:51:49.970Z,010-20081219114010,0.158,0.001,0.075,0.234
2026-01-14T10:52:01.997Z,010-20081219114010,0.164,0.001,0.077,0.243
2026-01-14T10:52:13.982Z,010-20081219114010,0.160,0.001,0.072,0.234
2026-01-14T10:52:25.973Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:52:37.993Z,010-20081219114010,0.168,0.001,0.076,0.246
2026-01-14T10:52:49.974Z,010-20081219114010,0.160,0.001,0.074,0.235
2026-01-14T10:53:01.984Z,010-20081219114010,0.165,0.001,0.074,0.241
2026-01-14T10:53:13.954Z,010-20081219114010,0.158,0.001,0.070,0.229
2026-01-14T10:53:25.935Z,010-20081219114010,0.168,0.001,0.074,0.243
2026-01-14T10:53:38.047Z,010-20081219114010,0.173,0.001,0.077,0.252
2026-01-14T10:53:50.050Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:54:03.157Z,010-20081219114010,0.168,0.001,0.075,0.245
2026-01-14T10:54:17.059Z,010-20081219114010,0.161,0.001,0.075,0.238
2026-01-14T10:54:30.432Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:54:43.448Z,010-20081219114010,0.166,0.001,0.072,0.240
2026-01-14T10:54:55.454Z,010-20081219114010,0.165,0.001,0.074,0.240
2026-01-14T10:55:07.460Z,010-20081219114010,0.164,0.001,0.073,0.238
2026-01-14T10:55:19.497Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:55:31.576Z,010-20081219114010,0.167,0.001,0.074,0.243
2026-01-14T10:55:43.594Z,010-20081219114010,0.163,0.001,0.077,0.242
2026-01-14T10:55:55.601Z,010-20081219114010,0.159,0.001,0.070,0.231
2026-01-14T10:56:07.583Z,010-20081219114010,0.164,0.001,0.074,0.240
2026-01-14T10:56:19.585Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:56:31.605Z,010-20081219114010,0.166,0.001,0.074,0.243
2026-01-14T10:56:43.616Z,010-20081219114010,0.163,0.001,0.074,0.238
2026-01-14T10:56:55.611Z,010-20081219114010,0.160,0.001,0.072,0.233
2026-01-14T10:57:07.604Z,010-20081219114010,0.162,0.001,0.072,0.236
2026-01-14T10:57:19.675Z,010-20081219114010,0.159,0.001,0.071,0.232
2026-01-14T10:57:31.691Z,010-20081219114010,0.169,0.001,0.078,0.248
2026-01-14T10:57:43.694Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T10:57:55.694Z,010-20081219114010,0.160,0.001,0.071,0.233
2026-01-14T10:58:07.694Z,010-20081219114010,0.164,0.001,0.072,0.237
2026-01-14T10:58:19.660Z,010-20081219114010,0.158,0.001,0.070,0.229
2026-01-14T10:58:31.666Z,010-20081219114010,0.164,0.001,0.073,0.238
2026-01-14T10:58:43.646Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:58:55.639Z,010-20081219114010,0.160,0.001,0.076,0.238
2026-01-14T10:59:07.753Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:59:19.711Z,010-20081219114010,0.158,0.001,0.070,0.230
2026-01-14T10:59:31.714Z,010-20081219114010,0.165,0.001,0.073,0.240
2026-01-14T10:59:43.720Z,010-20081219114010,0.166,0.001,0.076,0.243
2026-01-14T10:59:55.709Z,010-20081219114010,0.162,0.001,0.073,0.237
2026-01-14T11:00:07.691Z,010-20081219114010,0.165,0.001,0.075,0.241
2026-01-14T11:00:19.648Z,010-20081219114010,0.157,0.001,0.070,0.228
2026-01-14T11:00:31.675Z,010-20081219114010,0.167,0.001,0.076,0.244
2026-01-14T11:00:43.674Z,010-20081219114010,0.166,0.001,0.074,0.242
2026-01-14T11:00:55.745Z,010-20081219114010,0.165,0.001,0.071,0.238
2026-01-14T11:01:07.711Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T11:01:19.695Z,010-20081219114010,0.162,0.001,0.072,0.236
2026-01-14T11:01:31.692Z,010-20081219114010,0.165,0.001,0.073,0.240
2026-01-14T11:01:43.670Z,010-20081219114010,0.166,0.001,0.073,0.240
2026-01-14T11:01:55.677Z,010-20081219114010,0.162,0.001,0.073,0.236
2026-01-14T11:02:07.662Z,010-20081219114010,0.162,0.001,0.073,0.236
2026-01-14T11:02:19.639Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T11:02:31.652Z,010-20081219114010,0.167,0.001,0.073,0.242
2026-01-14T11:02:43.734Z,010-20081219114010,0.166,0.001,0.074,0.242
2026-01-14T11:02:55.722Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T11:03:07.699Z,010-20081219114010,0.161,0.001,0.073,0.236
2026-01-14T11:03:19.669Z,010-20081219114010,0.161,0.001,0.072,0.235
